ID,Label,Path
EXPORT_BREP,EXPORT BREP,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\actions\exportBREP\exportBREP.action.ts
GET_INFO,OBJECT INFO,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\actions\getInfo\getInfo.action.ts
BOOLEAN,Boolean,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\boolean\boolean.operation.ts
UNION,Tools,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\boolean\boolean.operation.ts
SUBTRACT,Keep Tools,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\boolean\boolean.operation.ts
INTERSECT,Targets,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\boolean\boolean.operation.ts
DEFEATURE_REMOVE_FACE,Delete Face,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\defeatureRemoveFace\defeatureRemoveFace.operation.ts
DELETE_BODY,DeleteBody,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\deleteBody\deleteBody.operation.ts
EXTRUDE,Extrude,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\extrude\extrude.operation.ts
CUT,length,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\extrude\extrude.operation.ts
FILLET_TOOL,Fillet/Chapher,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\fillet\fillet.operation.ts
HOLE_TOOL,hole,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\hole\Hole.operation.ts
IMPORT_MODEL,Import,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\importModel\importModel.operation.ts
LOFT,Loft,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\loft\loft.operation.ts
MIRROR_BODY,Mirror Body,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\mirrorBody\mirrorBody.operation.ts
MOVE_BODY,Move Body,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\moveBody\moveBody.operation.ts
PATTERN_LINEAR,Linear pattern,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\patternLinear\patternLinear.operation.ts
PATTERN_RADIAL,Radial pattern,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\patternRadial\patternRadial.operation.ts
PLANE,Plane,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\plane\simplePlaneOperation.ts
BOX,Box,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveBox\primitiveBox.operation.ts
F:LEFT,X,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveBox\primitiveBox.operation.ts
F:RIGHT,Y,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveBox\primitiveBox.operation.ts
F:BASE,Z,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveBox\primitiveBox.operation.ts
F:LID,locations,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveBox\primitiveBox.operation.ts
F:BACK,boolean,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveBox\primitiveBox.operation.ts
F:FRONT,none,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveBox\primitiveBox.operation.ts
CONE,Cone,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveCone\PrimitiveCone.operation.ts
F:SIDE,Diameter A,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveCone\PrimitiveCone.operation.ts
F:BASE,Diameter B,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveCone\PrimitiveCone.operation.ts
F:LID,Height,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveCone\PrimitiveCone.operation.ts
CYLINDER,Cylinder,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveCylinder\PrimitiveCylinder.operation.ts
F:SIDE,Diameter,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveCylinder\PrimitiveCylinder.operation.ts
F:BASE,Height,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveCylinder\PrimitiveCylinder.operation.ts
F:LID,locations,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveCylinder\PrimitiveCylinder.operation.ts
SPHERE,Sphere,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveSphere\PrimitiveSphere.operation.ts
F:SPHERE,Radius,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveSphere\PrimitiveSphere.operation.ts
TORUS,Torus,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveTorus\PrimitiveTorus.operation.ts
F:TORUS,Radius,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\primitiveTorus\PrimitiveTorus.operation.ts
REVOLVE,Revolve,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\revolve\revolve.operation.ts
SCALE_BODY,Scale,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\scaleBody\scaleBody.operation.ts
SHELL_TOOL,Shell,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\shell\shell.operation.ts
SWEEP,Sweep,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\sweep\sweep.operation.ts
WIRE_LINE,Line,D:\Make-Print-Dev\jsketcher\modules\workbenches\modeler\features\wireLine\wireLine.ts
RE_AUTO_ROUTE,AUTO ROUTE,D:\Make-Print-Dev\jsketcher\modules\workbenches\routingElectrical\features\autoRoute\autoRoute.operation.ts
SM_FLANGE,Flange,D:\Make-Print-Dev\jsketcher\modules\workbenches\sheetMetal\features\smFlange\smFlange.operation.ts
SM_TAB,SM Tab,D:\Make-Print-Dev\jsketcher\modules\workbenches\sheetMetal\features\smTab\smTab.operation.ts
debug,debug,D:\Make-Print-Dev\jsketcher\web\app\cad\debugBundle.js
DebugPrintAllSolids,print all solids,D:\Make-Print-Dev\jsketcher\web\app\cad\debugBundle.js
DebugPrintFace,print face,D:\Make-Print-Dev\jsketcher\web\app\cad\debugBundle.js
DebugFaceId,print face id,D:\Make-Print-Dev\jsketcher\web\app\cad\debugBundle.js
DebugFaceSketch,print face sketch,D:\Make-Print-Dev\jsketcher\web\app\cad\debugBundle.js
DebugSetSketcherIntegerPrecision,set sketch precision to 0(integer),D:\Make-Print-Dev\jsketcher\web\app\cad\debugBundle.js
DebugOpenLastTest,open last test,D:\Make-Print-Dev\jsketcher\web\app\cad\debugBundle.js
DebugOpenBrepDebugger,open BREP debugger,D:\Make-Print-Dev\jsketcher\web\app\cad\debugBundle.js
EditFace,sketch,D:\Make-Print-Dev\jsketcher\web\app\cad\actions\coreActions.js
ReassignSketch,reassign sketch,D:\Make-Print-Dev\jsketcher\web\app\cad\actions\coreActions.js
Save,save,D:\Make-Print-Dev\jsketcher\web\app\cad\actions\coreActions.js
StlExport,STL Export,D:\Make-Print-Dev\jsketcher\web\app\cad\actions\coreActions.js
ImagePngExport,PNG Export,D:\Make-Print-Dev\jsketcher\web\app\cad\actions\coreActions.js
NativeFormatExport,Download Project,D:\Make-Print-Dev\jsketcher\web\app\cad\actions\coreActions.js
NativeFormatImport,Import Project,D:\Make-Print-Dev\jsketcher\web\app\cad\actions\coreActions.js
NativeFormatImportAs,Import Project as...,D:\Make-Print-Dev\jsketcher\web\app\cad\actions\coreActions.js
NewProject,New Project...,D:\Make-Print-Dev\jsketcher\web\app\cad\actions\coreActions.js
CloneCurrentProject,Clone Project...,D:\Make-Print-Dev\jsketcher\web\app\cad\actions\coreActions.js
RefreshSketches,Refresh Sketches,D:\Make-Print-Dev\jsketcher\web\app\cad\actions\coreActions.js
DeselectAll,deselect all,D:\Make-Print-Dev\jsketcher\web\app\cad\actions\coreActions.js
ToggleCameraMode,toggle camera,D:\Make-Print-Dev\jsketcher\web\app\cad\actions\coreActions.js
